Segs: 1706 total, 1474 passed, 232 filtered
Combined GA: pop=192 gen=100 fitness=LVS*1000-DRC
Gen 70: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.3s)
Gen 71: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 72: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 73: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 74: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 75: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 76: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 77: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 78: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 79: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 80: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 81: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 82: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.3s)
Gen 83: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 84: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 85: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 86: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 87: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 88: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 89: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 90: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 91: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 92: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 93: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 94: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.3s)
Gen 95: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 96: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 97: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 98: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 99: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 100: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)

Best: LVS=252 DRC=0 fitness=252000
